ProductType;RuleName;ESAProductType
S1_S5_GRDH_1A;S1_L1L2;S5_GRDH_1A
S1_S5_OCN__2A;S1_L1L2;S5_OCN__2A
S1_S5_SLC__1A;S1_L1L2;S5_SLC__1A
S1_S6_GRDH_1A;S1_L1L2;S6_GRDH_1A
S1_S6_OCN__2A;S1_L1L2;S6_OCN__2A
S1_S6_SLC__1A;S1_L1L2;S6_SLC__1A
S1_AUX_ICE;S1_AUX;AUX_ICE
S1_AUX_SCS;S1_AUX;AUX_SCS
S1_AUX_WAV;S1_AUX;AUX_WAV
S1_AUX_WND;S1_AUX;AUX_WND
S2_AUX_PREORB;AUX_EOF;AUX_PREORB
S2_AUX_SADATA;S2_SAD;AUX_SADATA
S2_MSI_L0__DS;S2_DS;MSI_L0__DS
S2_MSI_L0__GR;S2_GR;MSI_L0__GR
S2_PRD_HKTM__;S2_HK;PRD_HKTM__
S2_AUX_RESORB;AUX_EOF;AUX_RESORB
S2_AUX_CAMSFO;S2_HDR;AUX_CAMSFO
S2_GIP_ATMIMA;S2_HDR;GIP_ATMIMA
S2_GIP_ATMSAD;S2_HDR;GIP_ATMSAD
S2_GIP_BLINDP;S2_HDR;GIP_BLINDP
S2_GIP_CLOINV;S2_HDR;GIP_CLOINV
S2_GIP_CLOPAR;S2_HDR;GIP_CLOPAR
S2_GIP_CONVER;S2_HDR;GIP_CONVER
S2_GIP_DATATI;S2_HDR;GIP_DATATI
S2_GIP_DECOMP;S2_HDR;GIP_DECOMP
S2_GIP_ECMWFP;S2_HDR;GIP_ECMWFP
S2_GIP_G2PARA;S2_HDR;GIP_G2PARA
S2_GIP_G2PARE;S2_HDR;GIP_G2PARE
S2_GIP_GEOPAR;S2_HDR;GIP_GEOPAR
S2_GIP_HRTPAR;S2_HDR;GIP_HRTPAR
S2_GIP_INTDET;S2_HDR;GIP_INTDET
S2_GIP_INVLOC;S2_HDR;GIP_INVLOC
S2_GIP_JP2KPA;S2_HDR;GIP_JP2KPA
S2_GIP_LREXTR;S2_HDR;GIP_LREXTR
S2_GIP_MASPAR;S2_HDR;GIP_MASPAR
S2_GIP_OLQCPA;S2_HDR;GIP_OLQCPA
S2_GIP_PRDLOC;S2_HDR;GIP_PRDLOC
S2_GIP_PROBAS;S2_HDR;GIP_PROBAS
S2_GIP_R2ABCA;S2_HDR;GIP_R2ABCA
S2_GIP_R2BINN;S2_HDR;GIP_R2BINN
S2_GIP_R2CRCO;S2_HDR;GIP_R2CRCO
S2_GIP_R2DEBA;S2_HDR;GIP_R2DEBA
S2_GIP_R2DECT;S2_HDR;GIP_R2DECT
S2_GIP_R2DEFI;S2_HDR;GIP_R2DEFI
S2_GIP_R2DENT;S2_HDR;GIP_R2DENT
S2_GIP_R2DEPI;S2_HDR;GIP_R2DEPI
S2_GIP_R2EOB2;S2_HDR;GIP_R2EOB2
S2_GIP_R2EQOB;S2_HDR;GIP_R2EQOB
S2_GIP_R2EQOG;S2_HDR;GIP_R2EQOG
S2_GIP_R2L2NC;S2_HDR;GIP_R2L2NC
S2_GIP_R2MACO;S2_HDR;GIP_R2MACO
S2_GIP_R2NOMO;S2_HDR;GIP_R2NOMO
S2_GIP_R2PARA;S2_HDR;GIP_R2PARA
S2_GIP_R2SWIR;S2_HDR;GIP_R2SWIR
S2_GIP_R2WAFI;S2_HDR;GIP_R2WAFI
S2_GIP_RESPAR;S2_HDR;GIP_RESPAR
S2_GIP_SPAMOD;S2_HDR;GIP_SPAMOD
S2_GIP_TILPAR;S2_HDR;GIP_TILPAR
S2_GIP_VIEDIR;S2_HDR;GIP_VIEDIR
S2_MSI_L1A_DS;S2_DS;MSI_L1A_DS
S2_MSI_L1A_GR;S2_GR;MSI_L1A_GR
S2_MSI_L1B_DS;S2_DS;MSI_L1B_DS
S2_MSI_L1B_GR;S2_GR;MSI_L1B_GR
S2_MSI_L1C_DS;S2_DS;MSI_L1C_DS
S2_MSI_L1C_TC;S2_TC;MSI_L1C_TC
S2_MSI_L1C_TL;S2_TL;MSI_L1C_TL
S2_MSI_L1C;S2_MSI;MSI_L1C
S2_AUX_ECMWFD;S2_HDR;AUX_ECMWFD
S2_AUX_UT1UTC;S2_HDR;AUX_UT1UTC
S2_GIP_EARMOD;S2_HDR;GIP_EARMOD
S2_GIP_L2ACAC;S2_HDR;GIP_L2ACAC
S2_GIP_L2ACSC;S2_HDR;GIP_L2ACSC
S2_GIP_PROBA2;S2_HDR;GIP_PROBA2
S3_AX___FPO_AX;S3_AX;AX___FPO_AX
S3_AX___FRO_AX;S3_AX;AX___FRO_AX
S3_DO_0_DOP___;S3_L0;DO_0_DOP___
S3_DO_0_NAV___;S3_L0;DO_0_NAV___
S3_GN_0_GNS___;S3_L0;GN_0_GNS___
S3_MW_0_MWR___;S3_L0;MW_0_MWR___
S3_MW_1_CAL___;S3_MW;MW_1_CAL___
S3_MW_1_DNB_AX;S3_AX;MW_1_DNB_AX
S3_MW_1_MWR___;S3_MW;MW_1_MWR___
S3_MW_1_NIR_AX;S3_AX;MW_1_NIR_AX
